grid_id,researchers,date,time_start,time_finish,time_of_transect,duration,time_recorded_wildlife,grid_line,grid_line_detected,grid_line_direction,x_transect,y_transect,x_mid,y_mid,x_species,y_species,habitat_type,species_detected,scientific_name,wildlife_size,bearing_to_wildlife,distance_to_wildlife,bearing_to_line,distance_perpendicular,province,notes
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,NA,B,NA,east,572052,1442901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,NA,C,NA,south,573052,1442901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,NA,D,NA,west,573052,1441901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,NA,A ,NA,north,572052,1441901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,NA,D,NA,west,573052,1441901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,NA,C,NA,south,573052,1442901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,NA,B,NA,east,572052,1442901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,13:02,D,A - D,west,NA,NA,572552,1442401,572059,1441904,Evergreen,Pileated gibbon,Hylobates pileatus,3,360,91,90,0.00000000000002228857,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,13:05,D,A - D,west,NA,NA,572552,1442401,572128,1441889,Evergreen,Great Hornbill,Buceros bicornis,2,20,69,90,23.59938988947110000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,13:16,D,A - D,west,NA,NA,572552,1442401,572277,1441898,Evergreen,Green Peafowl,Pavo muticus,2,70,11,90,10.33661882864500000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,16:14,A ,B - A,south,NA,NA,572552,1442401,572068,1442802,Evergreen,Green Peafowl,Pavo muticus,2,240,40,180,34.64101615137750000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,16:21,A ,B - A,south,NA,NA,572552,1442401,572075,1442392,Evergreen,Pileated gibbon,Hylobates pileatus,2,250,20,180,18.79385241571820000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,7:31,B,B - C,east,NA,NA,572552,1442401,573057,1442897,Evergreen,Wild pig,Sus scrofa,5,110,22,90,20.67323765729000000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,9:08,C,C - D,south,NA,NA,572552,1442401,573036,1442342,Evergreen,Green Peafowl,Pavo muticus,2,250,60,180,56.38155724715450000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,14:17,C,D - C,south,NA,NA,572552,1442401,573034,1442263,Evergreen,Green Peafowl,Pavo muticus,2,70,60,360,56.38155724715450000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,13:00,16:51,PM,3:51,14:37,C,D - C,south,NA,NA,572552,1442401,573011,1442641,Evergreen,Great Hornbill,Buceros bicornis,3,340,22,360,7.52444315316471000000,Kratie,
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,6:02,A ,A​​ - B,north,NA,NA,567552,1443401,567051,1442903,Evergreen,Great Hornbill,Buceros bicornis,2,100,70,360,68.93654271085460000000,Kampong Thom,
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,NA,A ,NA,north,567052,1442901,567552,1443401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,NA,B,NA,east,567052,1443901,567552,1443401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,NA,C,NA,south,568052,1443901,567552,1443401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,NA,D ,NA,west,568052,1442901,567552,1443401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,13:00,16:48,PM,3:48,NA,A ,NA,north,567052,1442901,567552,1443401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,13:00,16:48,PM,3:48,NA,D ,NA,west,568052,1442901,567552,1443401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,13:00,16:48,PM,3:48,NA,C ,NA,south,568052,1443901,567552,1443401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,13:00,16:48,PM,3:48,NA,B ,NA,east,567052,1443901,567552,1443401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kampong Thom,No wildlife
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,7:23,B,B - C,east,NA,NA,567552,1443401,567443,1443894,Evergreen,Pileated gibbon,Hylobates pileatus,2,260,90,90,88.63269777109870000000,Kampong Thom,
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,10:36,D ,D - A,west,NA,NA,567552,1443401,567301,1442908,Evergreen,Green Peafowl,Pavo muticus,2,150,30,270,15.00000000000000000000,Kampong Thom,
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,6:00,11:36,AM,5:36,10:06,D ,D - A,west,NA,NA,567552,1443401,567743,1442929,Evergreen,Great Hornbill,Buceros bicornis,1,80,20,270,19.69615506024420000000,Kampong Thom,
08,"Hul Bora, Dong Phirun and Seng Naroth",2023-02-26,13:00,16:48,PM,3:48,14:37,C,D - C,south,NA,NA,567552,1443401,568094,1443656,DDF,Great Hornbill,Buceros bicornis,7,100,56,360,55.14923416868360000000,Kampong Thom,
09,"Bon Dea, Thang Sros and Khiev Kimnannara",2023-01-26,6:06,11:30,AM,5:24,NA,A ,NA,north,589052,1443901,589552,1444401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
